subj	rel	obj
magnifying glass	structural-noun-compound	magnifying
slow	result	less speed
south shetland islands (antarctic treaty signatories)	structural-noun-compound	shetland
be in danger	at location	be near dangerous object
study soil sample	structural-verb	study
describe	instrument	property
vine climb	structural-verb	climb
water absorb solar energy	structural-patient	solar energy
mountain top	structural-noun-compound	top
plant appear	structural-agent	plant
destroy	patient	habitat
dumbartonshire	structural-noun-compound	dumbartonshire
colored	derivational morphology	color
sediment compact	result	sedimentary rock
tree species	has subcomponent	unique leaf
organism niche	structural-noun-compound	organism
cut down	patient	tree
animal waste	structural-noun-compound	waste
observe	instrument	magnifying glass
0 speed	structural-adjective	0
less required item	structural-quantifier	less
separate	patient	mixture
sound	has property	quiet
perform task	structural-verb	perform
produce light	structural-patient	light
part	has property	small
season	causes	change environment
eat	agent	living entity
canyon	has subcomponent	rock
push button	structural-verb	push
same inherited characteristic	structural-noun	inherited characteristic
wild meat	structural-noun-compound	wild
sunny day	structural-adjective	sunny
sound intensity	structural-noun-compound	sound
light candle	result	candle burn
freeze	instrument	remove heat
harm	patient	species
tabasco	structural-noun-compound	tabasco
control	agent	computer
food chain	has subcomponent	animal
decomposing algae	structural-adjective	decomposing
photosynthesize	instrument	absorb carbon dioxide
change	has property	physical
natural selection	structural-noun-compound	selection
just born	structural-adjective	just
combine substance	result	chemical reaction
open clam	structural-patient	clam
land form	structural-noun-compound	land
bat	at location	cave
laos	at location	northern hemisphere
narrow tree ring	structural-noun	tree ring
attract	patient	prey
habitat support	beneficiary	living thing
fossil fuel	structural-noun-compound	fossil
polar bear	structural-noun-compound	polar
form solid	structural-verb	form
desert	has property	hot
rain gauge	structural-noun-compound	gauge
respire	result	carbon dioxide
less bacterium	structural-noun	bacterium
monkey give birth	structural-verb	give birth
move	patient	bone
be classified group	structural-verb	be classified
counter	result	resist
earth	has subcomponent	hemisphere
kinetic energy	structural-noun	energy
paper bag	structural-noun-compound	bag
plant	has property	green
magnet	has subcomponent	magnetic metals
height	has property	smaller
magnet attract	result	stick
store	patient	energy
heat	patient	prehistoric animal remains
old rock rise	structural-verb	rise
northwest territories	structural-noun-compound	northwest
refract light	instrument	prism
create	patient	peate
fly	agent	bird
chemical splash	structural-agent	chemical
move food	structural-verb	move
photosynthesize	result	waste product
decrease	result	few
kinross-shire	structural-noun-compound	kinross
rest	causes	health
tape measure	structural-noun-compound	tape
environment	has property	weather
bury plant	structural-patient	plant
soil erosion	structural-noun-compound	erosion
wheel and axle	structural-noun-compound	wheel
fan out	agent	water
storm	causes	water
cell membrane	at location	cell
bat give birth	result	live young
prevent	patient	death
bird eat berry	has negative impact on	berry
object piece	structural-noun-compound	object
old object	structural-noun	object
prevent flow	instrument	electrical insulator
vibrate	derivational morphology	vibration
reflect	agent	sound
loose soil	has positive impact on	root grow
change colour	structural-patient	colour
month	has subcomponent	moon orbit
weather	has property	stormy
activate switch	structural-verb	activate
erode	result	deep river
protect	patient	living entity
fly	patient	south
bend light	structural-verb	bend
moving air	structural-adjective	moving
measure	patient	height
increase	patient	bad thing
muscle	has subcomponent	muscle cell
transport water	instrument	stem
pinhole camera	structural-noun-compound	camera
avoid	agent	animal
bonaire (netherlands)	at location	northern hemisphere
provide support	structural-verb	provide
thrive	agent	aquatic plant
baked product	structural-adjective	baked
describe weather	agent	weather report
environmental	derivational morphology	environment
florida	structural-noun-compound	florida
temperature drop	structural-agent	temperature
eat	patient	diet
invent	agent	human
harm animal species	result	population decrease
fossil	has subcomponent	dead organism
tianjin	structural-noun-compound	tianjin
emit	result	increase
cut down tree	structural-verb	cut down
less car	structural-noun	car
american samoa (united states)	structural-noun-compound	samoa
clear forest	structural-verb	clear
candle burn	structural-agent	candle
habitat	similar to	environment
iron nails	structural-noun	nails
scientific process	structural-noun	process
eat	agent	fox
oxygen	has property	dissolved
pine needle	has subcomponent	odor
change environment	result	plant adapt
float	instrument	buoyancy
fall	agent	hail
recycle resource	has positive impact on	environment
summer	has positive impact on	daylight
hawk eat lizard	structural-patient	lizard
saint lucia	structural-noun-compound	lucia
mica	has property	black
plant	has subcomponent	pholem
moldova	at location	northern hemisphere
aquatic animal survive	structural-verb	survive
strong hurricane	at location	land
south georgia and the south sandwich islands (uk)	structural-noun-compound	south
use raw material	structural-patient	raw material
record image	structural-patient	image
infertile soil	structural-noun	soil
change animal habitat	structural-verb	change
eat	patient	edible
clear forest	structural-patient	forest
fertile soil	has subcomponent	high quality
dissolve	at location	water
hemisphere of earth	structural-noun-compound	hemisphere
cocos (keeling) islands (australia)	at location	southern hemisphere
increase weight	structural-verb	increase
push object	structural-verb	push
start	patient	current
squirrel eat fruit	structural-agent	squirrel
lay egg	agent	fish
bottom	has property	deep
oxygen	has positive impact on	animal
less water	structural-noun	water
renewable resource	structural-noun	resource
animal	has subcomponent	shell
store waste	structural-patient	waste
crop rotation	has positive impact on	soil
object touch	structural-agent	object
uv light	structural-noun-compound	light
reproduce	instrument	lay egg
são tomé and príncipe	at location	equator
1973	has subcomponent	invent cellular telephone
photosynthesize	agent	green plant
canyon	at location	ground
reproduce	beneficiary	flower
protect body	structural-patient	body
animal find shelter	structural-patient	shelter
raccoon eat waste	structural-agent	raccoon
maghemite	has property	magnetic
build	instrument	measure material
vinegar water	has subcomponent	water
shiny thing	structural-noun	thing
exert	patient	force
cut down tree	result	deforestation
reproduce	agent	organism
conserve	patient	natural resource
banffshire	at location	scotland
soil	has property	sandy
same food source	causes	compete
mountain	has subcomponent	mountain top
move	source	location
eagle eat fish	has positive impact on	eagle
moon	has subcomponent	rocky terrain
contents color	structural-noun-compound	color
stir	instrument	spoon
magnetism affect	structural-verb	affect
filter waste	structural-verb	filter
expel air	structural-verb	expel
hit	patient	object
vanilla	has subcomponent	odor
heart	has subcomponent	muscle
tear	patient	whole
heat	has property	excess
obtain	patient	information
pine needle	structural-noun-compound	pine
prairie dog	structural-noun-compound	prairie
oxygen	has property	nonmagnetic
survive	instrument	ability
equatorial regional guinea	at location	equator
important object	structural-noun	object
nickel	has property	magnetic
cool	agent	magma
pluck string	structural-patient	string
observe distant object	structural-verb	observe
increase	agent	population
stop vehicle	instrument	friction
change shape	agent	liquid
plant survive	instrument	photosynthesize
down	has property	soft
balance ball	structural-verb	balance
excess heat	structural-noun	heat
young amphibian	structural-noun	amphibian
méxico	structural-noun-compound	méxico
magnetic fields	structural-noun	fields
animal leave environment	structural-patient	environment
animal	has subcomponent	fat
natural geological process	structural-noun	process
grow	result	tall
electrical signals	structural-adjective	electrical
gloucestershire	at location	england
separate	instrument	filter
são tomé and príncipe	structural-noun-compound	tomé
gas exchange	structural-agent	gas
light bulb	has subcomponent	electrical energy
absorb carbon dioxide	at location	air
new land	structural-noun	land
indiana	at location	united states of america
increase	patient	mpg
raccoon	at location	log
sun set	structural-verb	set
magma cool	result	igneous rock
land form	structural-noun-compound	form
food	has property	spoiled
electric device function	instrument	electrical energy
photosynthesize	result	energy
material	has property	charge
baja california sur	structural-noun-compound	california
adapt	result	survive
study weather	structural-patient	weather
exercise	causes	strength
place group	structural-patient	group
produce	patient	seed
earth tilt	structural-noun-compound	earth
quantitative information	structural-adjective	quantitative
beach ball	structural-noun-compound	beach
move	result	kinetic energy
decrease size	structural-verb	decrease
kill	patient	fish
soil sample	structural-noun-compound	sample
heat	patient	carbon
eyeglasses	derivational morphology	eyeglasses
safety gear	structural-noun	gear
change environment	result	decrease animal population
wigtownshire	at location	scotland
gravel	has property	rough surface
change appearance	structural-patient	appearance
food chain	has subcomponent	plankton
habitat support	structural-agent	habitat
complete circuit	structural-patient	circuit
instinctive behaviour	structural-noun	behaviour
illinois	at location	united states of america
cocos (keeling) islands (australia)	structural-noun-compound	australia
bottom of area	structural-noun-compound	bottom
ivory coast	structural-noun-compound	ivory
national park limit	patient	hunting
sound	has property	normal
cool	instrument	freezer
ice crystals	structural-noun	crystals
decrease melting point	structural-verb	decrease
boiling	derivational morphology	boil
break down food	at location	digestive system
other animals	structural-adjective	other
prepare storm	structural-verb	prepare
moon orbit	structural-verb	orbit
grow	agent	bacteria
light ray	structural-noun-compound	ray
lanarkshire	structural-noun-compound	lanarkshire
strong beak	structural-noun	beak
flower petal	has property	bright
sand	similar to	soil
wind	has property	renewable
lithuania	at location	northern hemisphere
birth	agent	mammal
gravity	causes	tide
eat poison	structural-patient	poison
energy	has property	kinetic
light energy	structural-noun-compound	energy
burn natural gas	structural-verb	burn
process	causes	waste product
vibrate	agent	particle
raccoon eat garbage	structural-verb	eat
freezing point	structural-noun	point
renew soil	structural-patient	soil
play drum	instrument	bang drum
less bacterium	structural-quantifier	less
appalachian mountains	structural-noun-compound	mountain
moving habit	structural-noun-compound	habit
stop vehicle	instrument	brake
lay egg	structural-patient	egg
store urine	structural-verb	store
plant transport water	structural-verb	transport
asphalt	has property	smooth
look like	similar to	camouflage
animal	causes	fossil
heat	patient	thermal conductor
create picture	structural-verb	create
harm entity	has negative impact on	entity
photosynthesize	instrument	carbon dioxide
sides	derivational morphology	side
plant reproduce	structural-verb	reproduce
rock	has property	solid
animal eat	patient	animal
no speed	structural-adjective	no
insulate	derivational morphology	insulator
rock erode	instrument	animal exposure
melt	instrument	heat energy
hot substance	causes	heat
more light	structural-quantifier	more
egg	causes	amphibian
baja california sur	structural-noun-compound	baja
sea turtle	structural-noun-compound	turtle
stop	patient	current
slow down	result	less speed
food	has property	diverse
light	has property	color
day	has subcomponent	cycle
process step	has subcomponent	requirement
bury seed	structural-verb	bury
transport water	instrument	artery
manage number	structural-verb	manage
forest	has property	green
flower attract pollinator	instrument	sweet smell
identical twin	structural-noun-compound	twin
examine vehicle	structural-verb	examine
dog weight	structural-noun-compound	weight
heat	causes	hurricane
reduce waste	structural-patient	waste
pant	instrument	tongue
invent refrigerator	structural-patient	refrigerator
little daylight	structural-noun	daylight
light pollution	structural-noun-compound	pollution
grow fur	structural-patient	fur
breathe water	instrument	gills
big crack	structural-noun	crack
energy level decrease	structural-agent	energy level
observe	patient	light
cover	patient	water
earth	has subcomponent	axis
feel	patient	texture
rainwater	has property	acidic
detect carbon monoxide	structural-patient	carbon monoxide
food web	has subcomponent	organism
musical instruments	structural-adjective	musical
spread seed	structural-patient	seed
extreme pressure	structural-adjective	extreme
add	patient	salt
grow	patient	crop
survive	instrument	adaptation
density	similar to	volume
maintain health	structural-verb	maintain
short height	structural-noun	height
wisconsin	structural-noun-compound	wisconsin
heat gas	result	expand
absorb	patient	sunlight
sick people	structural-adjective	sick
float	at location	gas
ventilation	derivational morphology	ventilate
many sunlight	structural-noun	sunlight
many nutrient	structural-quantifier	many
lizard eat insect	structural-verb	eat
crickets	derivational morphology	cricket
animal become oil	instrument	extreme heat
paper clip	has subcomponent	ferromagnetic metals
attract magnet	agent	magnetic material
animal survive	structural-verb	survive
southern summer	has subcomponent	northern winter
attract	patient	magnet
exposure	derivational morphology	expose
rub material	structural-adjective	rub
investigate life cycle	structural-verb	investigate
destroy forest	instrument	cut down tree
desk	has property	short width
absorb heat	structural-patient	heat
fast breathing	structural-adjective	fast
staffordshire	at location	england
geologic landform	structural-noun	landform
plant	has property	edible
moon	has subcomponent	little air
measure temperature	instrument	thermometer
value	has property	more
many food	structural-quantifier	many
lizard weight	structural-noun-compound	weight
have	patient	function
colorado river	structural-noun-compound	river
safety goggles	structural-noun	goggles
run	instrument	energy
decrease occurrence	structural-patient	occurrence
hatchling	has property	young
united kingdom	structural-noun-compound	united
identify	instrument	property
flour reproduce	instrument	pollen
get	patient	object
oxygenate blood	structural-patient	blood
become warm	structural-adjective	warm
smallest length	structural-noun	length
prevent harm	structural-patient	harm
choice	has property	wise
wrap conductor	instrument	insulator
property	similar to	factor
coal mine	structural-noun-compound	coal
heat	patient	solid
intensity	has property	high
test	patient	water
monkey give birth	result	live young
wind energy	structural-noun-compound	wind
national park	structural-noun-compound	park
frog hibernate	structural-verb	hibernate
create paper	instrument	cut down tree
invent television	structural-patient	television
flower	has subcomponent	nectar
earthquake change earth surface	structural-patient	earth surface
survive	instrument	plant adapt
replace tree	structural-patient	tree
power station	structural-noun-compound	power
compact sediment	result	sedimentary rock
peat become coal	structural-patient	coal
animal move	structural-agent	animal
alligator eat turtle	has negative impact on	turtle
uneven heating	at location	earth surface
farming	at location	farm
houses	derivational morphology	house
season	has property	different
travel	agent	wheel
protective	derivational morphology	protect
flower	has subcomponent	petal
food web	has subcomponent	consumer
bicycle	has subcomponent	lever
central nervous system	structural-noun-compound	nervous
fossil	has property	old
measure time	structural-verb	measure
water	has property	moving
peat become coal	instrument	extreme pressure
disturb animal	structural-patient	animal
remove process inhibitor	structural-patient	process inhibitor
invent cellular telephone	structural-verb	invent
long distance	structural-noun	distance
transport seed	structural-patient	seed
day	has subcomponent	high temperature
carbon	at location	atmosphere
remove	patient	waste
send electricity	structural-patient	electricity
tree	has subcomponent	wood
more size	structural-noun	size
float	at location	liquid
move	patient	water
object	has property	heavy
animal survive	instrument	habitat
bonaire (netherlands)	structural-noun-compound	bonaire
increase strength	structural-patient	strength
new york	structural-noun-compound	york
cook liquid food	instrument	pot
cool	patient	body
vibration	similar to	wave
iron nails	derivational morphology	iron nail
insulate	instrument	insulator
become	result	hot
sea bottom	structural-noun-compound	sea
sediment fall	at location	water
dimple	has property	face
water	has property	oxygenated
produce energy	structural-patient	energy
mountain	has subcomponent	soil
hawaii	at location	ocean
resemble	patient	environment
very old	structural-noun	old
earth poles	derivational morphology	earth pole
measure mass	instrument	balance
hatchling	has property	baby
pollute	instrument	chemical
flour reproduce	structural-agent	flour
vinegar water	has subcomponent	vinegar
friction	at location	surface
r e	structural-noun	e
flashlight	has subcomponent	chemical energy
solids	derivational morphology	solids
alligator eat mouse	structural-agent	alligator
iron melting point	structural-noun-compound	melting
south dakota	structural-noun-compound	dakota
absorb	patient	solar energy
building collapse	structural-agent	building
chemical change	causes	chemical property
shape	has property	variable
rock erode	structural-agent	rock
remora fish	structural-noun-compound	remora
compress decomposing algae	structural-verb	compress
complete circuit	result	electricity flow
many sunlight	structural-quantifier	many
y axis	structural-noun-compound	y
vehicle inspection	structural-noun-compound	inspection
monkey	has subcomponent	fur
move down	structural-verb	move
incandescent light bulb	structural-noun-compound	incandescent
dependent	derivational morphology	depend
water meet land	at location	beach
start	has property	very large
eat plant	structural-verb	eat
wax crayon	has subcomponent	wax
northern summer	has subcomponent	southern winter
braunite	has property	magnetic
human compete	structural-verb	compete
together	similar to	group
reuse	patient	object
cool	agent	water vapour
hunting	derivational morphology	hunt
west lothian	at location	scotland
lizard	at location	desert
soil nutrient	structural-noun-compound	nutrient
house	has subcomponent	window
dark color	structural-adjective	dark
chile	at location	southern hemisphere
skinny beak	structural-adjective	skinny
avoid predator	has positive impact on	health
adjust temperature	instrument	sweat
burn gasoline	structural-verb	burn
estury	at location	river
dead organism	has subcomponent	remains
worcestershire	at location	england
roller skate	structural-noun-compound	skate
contact	agent	rock
weathering	has property	mechanical
resource	has subcomponent	money
thick tail	structural-adjective	thick
excess water	causes	flood
size	has property	more
plant population	structural-noun-compound	population
day	has subcomponent	tide
trevorite	has property	magnetic
south orkney islands (antarctic treaty signatories)	structural-noun-compound	orkney
inherit	patient	inherited characteristic
describe	instrument	function
formed	derivational morphology	form
absorb	patient	sound
need know	structural-patient	know
hair	has property	curly
water vapour rise	structural-agent	water vapour
low object	structural-noun	object
disperse	agent	seed
british indian ocean territory (united kingdom)	structural-noun-compound	territory
decrease	agent	air pressure
combust	derivational morphology	combustion
scientific process	structural-adjective	scientific
reproduce	instrument	pollen
indiana	structural-noun-compound	indiana
parallel circuit	structural-adjective	parallel
non-contact force	structural-adjective	non-contact
oxygenated water	structural-adjective	oxygenated
derbyshire	at location	england
alligator eat fish	structural-agent	alligator
plant stem	structural-noun-compound	stem
low moisture	structural-quantifier	low
play musical instrument	instrument	piano key
attract fly	instrument	rotting meat smell
electric car	structural-adjective	electric
heat building	structural-patient	building
below water	structural-noun	water
average size	structural-quantifier	average
discover color	instrument	look
destroy pathogen	agent	white blood cell
quebec	at location	canada
ningxia	structural-noun-compound	ningxia
excretory system	structural-adjective	excretory
food source	structural-noun-compound	source
lasting	derivational morphology	last
deflect air	agent	jet stream
migration	derivational morphology	migrate
car	has subcomponent	seat belt
microscopic thing	structural-noun	thing
fabric	has property	nonmagnetic
too much	similar to	increase
earth pole	has positive impact on	compass
shape	has property	extensive
invent cellular telephone	structural-patient	cellular telephone
bulgaria	at location	northern hemisphere
heat	has positive impact on	temperature
preserved remains	structural-noun	remains
glamorgan	structural-noun-compound	glamorgan
less illness	structural-noun	illness
down feather	structural-noun-compound	feather
express	agent	trait
altitude	has property	low
fish	has subcomponent	whisker
tidal range	structural-noun-compound	tidal
decrease visibility	structural-verb	decrease
look bright object	structural-patient	bright object
eat	result	nutrient
study moving habit	structural-patient	moving habit
required items	derivational morphology	required item
spring	causes	food
add salt	structural-patient	salt
same feature	structural-noun	feature
native plants	structural-noun	plants
find	at location	container
waste product	structural-noun	product
water boiling point	structural-noun-compound	water
wind move sand	result	sand dune
definite shape	structural-noun	shape
bluebird	at location	open space
branches	derivational morphology	branch
cook	instrument	heat
orbit	instrument	gravity
weather	instrument	wind
jarvis island (united states)	structural-noun-compound	united
predate	derivational morphology	predator
shed	result	lose fur
sharp beak	structural-noun	beak
observe	instrument	microscope
nickel	has property	ferromagnetic
ride	derivational morphology	riding
solar system	has subcomponent	moon
body	has subcomponent	esophagus
muscular system	structural-noun-compound	muscular
boat	similar to	ship
earth orbit	structural-agent	earth
cell nucleus	structural-noun-compound	nucleus
animal	has subcomponent	thick tail
illness	derivational morphology	ill
resource	has positive impact on	consumer
soil	has subcomponent	nutrient
bacteria	derivational morphology	bacteria
move	at location	water
harmful chemical	structural-noun	chemical
freezing	derivational morphology	freeze
die	result	reduce population
dependent variable	at location	y axis
summer solstice	structural-noun-compound	summer
peck shell	structural-verb	peck
mineral	has subcomponent	crystal structure
durham	at location	england
waste	has negative impact on	environment
egg	causes	baby
sri lanka	structural-noun-compound	sri
farm meat	has negative impact on	wild meat
less required item	structural-adjective	required
reduce food	structural-patient	food
runoff	has subcomponent	fertilizer
open circuit	structural-noun	circuit
animal learn	structural-verb	learn
store energy	structural-verb	store
eagle eat snake	structural-agent	eagle
beach ball	has subcomponent	gas
plant	has subcomponent	fruit
bird fly south	structural-verb	fly
leave	patient	environment
electric motor	structural-adjective	electric
smell	has property	good
bird eat seed	structural-verb	eat
shivering	derivational morphology	shiver
rock fold	result	alps
eat	patient	edible plant
remove heat	structural-patient	heat
independent variable	at location	horizontal axis
daylight change	structural-agent	daylight
born	derivational morphology	bear
measure volume	instrument	measuring cup
lay egg	agent	salmon
webbed	derivational morphology	web
lincolnshire	at location	england
windshield wiper	has positive impact on	visibility
tree produce	result	food
transport seed	instrument	fur
habitat	has property	good
norfolk island (australia)	structural-noun-compound	island
larger	derivational morphology	large
sleeping bags	structural-noun-compound	bags
length	has property	great
bird	has subcomponent	feather
hollow bone	structural-adjective	hollow
daylight period	structural-noun-compound	daylight
compact sediment	instrument	extreme heat
object	has subcomponent	substance
eat food	result	nutrient
same prey	causes	competition
hatch	source	egg
deposition	derivational morphology	deposit
pine tree	has subcomponent	needle
french guiana (france)	at location	southern hemisphere
growing	derivational morphology	grow
old	similar to	time
protect living entity	structural-verb	protect
receive warning	structural-patient	warning
west lothian	structural-noun-compound	lothian
wasp stinger	structural-noun-compound	wasp
area	has property	flat
hurricane	causes	harm building
sound energy	structural-noun-compound	sound
observe	instrument	binoculars
glacier ice	structural-noun-compound	ice
greater width	structural-adjective	greater
pull	agent	object
inner mongolia	structural-noun-compound	inner
down feather	structural-noun-compound	down
french polynesia (france)	at location	southern hemisphere
detect odor	instrument	smell
central nervous system	structural-noun-compound	central
tidal	derivational morphology	tide
burn oil	structural-patient	oil
observe sky	structural-verb	observe
renfrewshire	structural-noun-compound	renfrewshire
replacement	derivational morphology	replace
bird	has property	warm-blooded
pull	patient	bone
zacatecas	at location	mexico
drink	instrument	drinking straw
shaking	derivational morphology	shake
pollute	derivational morphology	pollutant
democratic republic of the congo	structural-noun-compound	democratic
absorb water	instrument	root
change	has negative impact on	ecosystem
m a	structural-adjective	m
guyana	at location	southern hemisphere
south carolina	structural-noun-compound	carolina
railroad tracks	structural-noun	railroad
blue jay	structural-noun-compound	jay
survive	instrument	find resource
earthquake strength	structural-noun-compound	strength
time interval	structural-noun	interval
move waste	structural-patient	waste
same polarity	structural-noun	polarity
container	has subcomponent	object
cell wall	structural-noun-compound	wall
use	patient	raw material
destroy	patient	pathogen
dependent variable	at location	vertical axis
magma cool	structural-agent	magma
niger	at location	southern hemisphere
aquatic animal thrive	structural-verb	thrive
appalachian mountains	structural-noun-compound	mountains
freezing point	similar to	melting point
use	patient	resource
catch fish	structural-patient	fish
cactus spine	structural-noun-compound	cactus
wheels	derivational morphology	wheel
melt	patient	solid
greater amount	structural-adjective	greater
store food	structural-patient	food
flexible container	structural-noun	container
brain control body	structural-patient	body
increase daylight	structural-verb	increase
area	has property	protected
bladder	has subcomponent	urine
temperature rise	result	glacier melt
heat exposure	structural-noun-compound	heat
environmental change	structural-adjective	environmental
build tool	instrument	know part
save money	has positive impact on	person
measure volume	instrument	graduated cylinder
animal hide seed	structural-patient	seed
mexico city	at location	mexico
produce electricity	instrument	wind
guangxi autonomous region	at location	people's republic of china
solid particles	structural-adjective	solid
use	patient	object
sun	causes	light energy
extreme heat	structural-noun	heat
preference	has property	highest
plant	causes	fossil
size increase	structural-agent	size
electrical signal	structural-adjective	electrical
drying	derivational morphology	dry
weak hurricane	structural-adjective	weak
glacier ice melt	structural-agent	glacier ice
daylight hour	structural-noun-compound	daylight
plant	has property	different
jilin	at location	people's republic of china
clouds	derivational morphology	cloud
water cycle	has subcomponent	water absorb solar energy
compress prehistoric animal remains	result	natural gas
perform	patient	cellular respiration
do chore	structural-patient	chore
reproduce	agent	living thing
receiving	derivational morphology	receive
belong group	structural-patient	group
solid material	structural-adjective	solid
hair	similar to	fur
melting	derivational morphology	melt
object	has property	low
turn on	patient	lightbulb
sell	derivational morphology	sale
dissolve	agent	substance
river mouth	structural-noun-compound	river
build home	agent	human
ferromagnetic metals	structural-adjective	ferromagnetic
move seed	structural-verb	move
animal move	result	find shelter
bang	patient	drum
floating arrow	structural-noun	arrow
tree	has subcomponent	ring
high daylight	structural-quantifier	high
shine	agent	sunlight
absorb sunlight	instrument	flat leaf
discover shape	instrument	feel
characteristic	has property	acquired
toy move	structural-agent	toy
fish	has subcomponent	gill
survive	instrument	require resource
repair	patient	cell
quartz	has property	six side
indonesia	at location	equator
flower petal	structural-noun-compound	flower
material	has property	negatively-charged
forfarshire	at location	scotland
kirkcudbrightshire	at location	scotland
crop grow	structural-verb	crop
ross-shire	at location	scotland
strength	has positive impact on	organism
united states virgin islands (us)	structural-noun-compound	united
little light	structural-noun	light
loss	similar to	removal
salt water evaporate	structural-verb	evaporate
iron	has property	magnetic
poison organism	structural-verb	poison
change	patient	phase
toasting	derivational morphology	toast
break down food	structural-patient	food
event occur	structural-verb	occur
escape predator	structural-verb	escape
support	patient	cell
compound	has property	chemical
laboratory coat	beneficiary	person
chemical	has property	pollutant
earth's tilt	structural-noun-compound	tilt
same polarity	structural-adjective	same
vegetation become peat	instrument	bury vegetation
columbite	has property	magnetic
kill virus	structural-patient	virus
low pressure system	structural-noun-compound	system
omnivore eat plant	structural-patient	plant
electric device	structural-adjective	electric
observe	patient	earth
wisconsin	at location	united states of america
tie back hair	structural-verb	tie back
remora fish	structural-noun-compound	fish
remains	derivational morphology	remain
environment	has property	arctic
cambridgeshire	at location	england
body	has subcomponent	arm
bodily process	structural-noun	process
rhode island	structural-noun-compound	rhode
caithness	at location	scotland
small space	structural-noun	space
wear	patient	safety goggles
identify inheritance	structural-patient	inheritance
northamptonshire	structural-noun-compound	northamptonshire
pollute	instrument	pollutant
heat liquid	result	boil
replace animal habitat	structural-patient	animal habitat
new brunswick	structural-noun-compound	brunswick
earth	has property	third planet
refract	result	change direction
potential energy	structural-noun	energy
boil	patient	liquid
heat source	structural-noun-compound	source
south orkney islands (antarctic treaty signatories)	structural-noun-compound	treaty
store water	instrument	waxy leaf
poison environment	structural-patient	environment
guangxi autonomous region	structural-noun-compound	autonomous
phase change	structural-agent	phase
alligator eat bird	has positive impact on	alligator
protect cell membrane	structural-patient	cell membrane
volume	has property	definite
decrease	patient	amount
erode soil	structural-verb	erode
plug in	patient	appliance
sexual reproduction	has subcomponent	fertilization
conduct electricity	structural-verb	conduct
predator eat animal	has negative impact on	animal
ocean floor	structural-noun-compound	ocean
matter	has property	liquid
eat	patient	dead organism
light enter eye	at location	pupil
sunlight	causes	heat
ventilate	instrument	fan
organism	has subcomponent	acquired characteristic
soil	has property	high
ultraviolet light	structural-noun-compound	light
rain fall	structural-agent	rain
liquid	has property	volume
hibernate	derivational morphology	hibernation
niue (new zealand)	structural-noun-compound	niue
support plant	structural-verb	support
day	has subcomponent	moon rise
object	has subcomponent	surface
rotate	instrument	axis
moon revolve	result	moon phase
power electrical device	instrument	electricity
animal become oil	structural-verb	become
south georgia and the south sandwich islands (united kingdom)	structural-noun-compound	kingdom
peat	has subcomponent	decaying vegetation
protect living entity	result	survive
soil layer	has property	top
metamorphosis	has property	incomplete
building collapse	causes	death
plane travel	structural-agent	plane
omnivore eat plant	has positive impact on	omnivore
hide	instrument	camouflage
energy	has property	chemical
move rocket	structural-patient	rocket
human	at location	land
star	at location	night sky
carbonic acid	structural-noun-compound	carbonic
kuwait	at location	northern hemisphere
light bulb filament	structural-noun-compound	bulb
sense sound	structural-patient	sound
flower	has subcomponent	fruit
physical property	structural-adjective	physical
leather	has property	water resistant
grow	result	increase value
uneven heating	structural-adjective	uneven
leave	patient	atom
meat	has property	rotting
trashcan	has subcomponent	garbage
flowing	derivational morphology	flow
cool down	result	cold
use	patient	crop
dominican republic	at location	northern hemisphere
magnet attract	structural-verb	attract
electricity power	patient	electromagnet
panting	derivational morphology	pant
human wear	structural-verb	wear
bowl-shaped lake	structural-adjective	bowl-shaped
rock	has subcomponent	iron
natural occurrence	structural-noun	occurrence
light years	derivational morphology	light years
phase change	structural-noun-compound	change
appear large	structural-patient	large
heat	causes	sweat
copy	result	identical
wind	causes	soil erosion
plant species	structural-noun-compound	plant
living entity	structural-adjective	living
sell	result	money
saint vincent and the grenadines	at location	northern hemisphere
french southern and antarctic lands (france)	at location	southern hemisphere
be near dangerous object	structural-patient	dangerous object
brown	has property	light
male human	structural-noun	human
many weight	structural-noun	weight
filament glow	result	light
decompose	agent	dead organism
invent television	structural-verb	invent
young dog	structural-adjective	young
new moon	has subcomponent	solar eclipse
cook	result	chemical reaction
transmit	derivational morphology	transmittance
move	agent	aquatic animal
overpopulation	has negative impact on	ecosystem
water meet land	structural-patient	land
orbit	agent	satellite
do chore	structural-verb	do
time taken	structural-agent	time
escape	result	protect
eyeglass	has subcomponent	lens
push	patient	bone
different soil	has property	different texture
identify	instrument	function
planet	has property	fifth
massachusetts	structural-noun-compound	massachusetts
germany	at location	northern hemisphere
rotting meat	structural-adjective	rotting
move	result	heat
organism	at location	habitat
gravity	causes	weight
dispose waste	instrument	landfill
type	has property	different
brain control body	structural-agent	brain
sunlight refract	result	light split
large piece	structural-noun	piece
reflective object	structural-noun	object
organism	has property	marine
shetland	at location	scotland
food	at location	stomach
highest preference	structural-adjective	highest
have function	similar to	be responsible for
landslide	has subcomponent	rock
earth's surface	structural-noun-compound	surface
use vehicle	structural-patient	vehicle
increase weight	structural-patient	weight
reduce bacterium	instrument	pasteurize
move	has property	speed
western hemisphere	structural-adjective	western
variable volume	structural-noun	volume
reproduce	agent	flour
new york	at location	united states of america
electrical energy	structural-noun	energy
better observation	structural-noun	observation
spring	causes	summer
