subj	rel	obj
miles per gallon	structural-noun-compound	miles
loose soil	has subcomponent	oxygen
winter	causes	spring
alligator eat bird	structural-patient	bird
animal become oil	at location	sea bottom
national park	structural-noun-compound	national
higher value	structural-noun	value
shower	has property	quick
car engine	structural-noun-compound	car
32 kg	structural-quantifier	32
decrease animal population	at location	environment
native species	structural-adjective	native
fox	has negative impact on	rabbit
cell respire	structural-agent	cell
exercise	has positive impact on	health
television set	structural-noun-compound	set
omnivore eat animal	has negative impact on	animal
low rainfall	structural-quantifier	low
rock cycle	structural-noun-compound	cycle
blossom	synonym	flower
prince edward island	at location	canada
baja california	instance of	state
lose water	structural-patient	water
saint kitts and nevis	structural-noun-compound	saint
ice wedging	structural-noun-compound	wedging
barometer	instance of	instrument
low quality	structural-noun	quality
tadpole	has property	young
natural resources	structural-adjective	natural
adult female insect	structural-adjective	adult
required item	structural-noun-compound	required
eagle	kind of	predator
el salvador	structural-noun-compound	salvador
freckle	kind of	inherited characteristic
destructive	derivational morphology	destroy
f l a	structural-noun	l a
animal drink desalinated water	structural-patient	desalinated water
white	kind of	color
more value	structural-noun	value
die	antonym	survive
concrete	kind of	surface
magnetic fields	structural-adjective	magnetic
earth rotate	structural-agent	earth
selkirkshire	structural-noun-compound	selkirkshire
housing development	structural-noun-compound	development
canyon	synonym	deep valley
acid	causes	chemical change
pan	kind of	object
luxembourg	at location	northern hemisphere
prey	has property	fast
habitat	has property	bad
lightbulb	has subcomponent	electricity
wet	antonym	dry
average	similar to	usual
less weight	has positive impact on	fly
arch	kind of	land formation
stove	has subcomponent	heat
bear	kind of	animal
low temperature	causes	retain water
more offspring	structural-noun	offspring
thermal glove	structural-noun-compound	glove
specific climate	structural-adjective	specific
under water	structural-adjective	under
different type	structural-noun	type
water exposure	structural-noun-compound	exposure
white tile	structural-noun	tile
table	kind of	object
metal	has property	flexible
entire community change	structural-verb	change
raccoon eat waste	structural-patient	waste
bird	at location	water tower
less daylight	structural-noun	daylight
vehicle	kind of	tool
south africa	structural-noun-compound	south
sense prey	structural-patient	prey
rain forest	structural-noun-compound	rain
catch fire	structural-verb	catch
algae grow	structural-agent	algae
electricity	kind of	energy
land feature	structural-noun	feature
mouse birth	structural-agent	mouse
grow	has positive impact on	mass
dissolve	kind of	add
single-celled organism	structural-noun	organism
characteristic	has property	learned
hit object	structural-patient	object
bury vegetation	structural-patient	vegetation
solar energy	kind of	energy
sense prey	structural-verb	sense
united states virgin islands (us)	structural-noun-compound	states
live	has subcomponent	adapt
behaviour	has property	inherited
thin	synonym	small width
small object	structural-adjective	small
plant root	structural-noun-compound	root
travel	synonym	move
remove waste	kind of	function
rainbow	has subcomponent	color
wind blow	structural-agent	wind
very cold	structural-quantifier	very
roll	kind of	motion
fewer plant	causes	carbon
bury seed	causes	seed sprout
gas	has property	polluting
crop	kind of	plant
ohio	instance of	state
shorter	synonym	less height
omnivore eat animal	structural-patient	animal
british virgin islands (uk)	structural-noun-compound	british
lion	kind of	mammal
measure material	structural-patient	material
brass	kind of	alloy
sexual reproduction	structural-noun-compound	reproduction
black object	structural-adjective	black
particle	has property	small
xinjiang autonomous region	structural-noun-compound	xinjiang
fuel supply	structural-noun-compound	fuel
cover water	structural-verb	cover
germ	kind of	harmful substance
sand dune	kind of	hill
good conductor	structural-adjective	good
grow	has positive impact on	height
wood	has property	light
greenhouse	kind of	shelter
cook food	structural-patient	food
break body part	structural-patient	body part
lightning	kind of	electrical discharge
hummingbird eat	structural-verb	eat
plant tree	structural-patient	tree
machine	has property	complex
bear eat animal	structural-patient	animal
pan	has subcomponent	metal
algeria	at location	southern hemisphere
jaguar	kind of	cat
cup	kind of	container
destroy habitat	has negative impact on	native species
electric fan	kind of	fan
buteshire	instance of	county
dead organisms	derivational morphology	dead organism
mayotte (france)	structural-noun-compound	france
rock layer	structural-noun-compound	rock
cell nucleus	structural-noun-compound	cell
organic material	structural-noun-compound	material
flat leaf	structural-adjective	flat
dominican republic	structural-noun-compound	dominican
raccoon eat garbage	structural-agent	raccoon
stainless steel	structural-noun-compound	stainless
homeowner	kind of	human
come together	structural-patient	together
negative impact	structural-noun	impact
characteristic	has property	inherited
many salt water	structural-quantifier	many
squirrel eat fruit	structural-patient	fruit
used	derivational morphology	use
frog	synonym	old tadpole
device	has property	electrical
nutrient	has subcomponent	energy
igneous rock	structural-noun	rock
tree ring	has property	narrow
recycle	kind of	dispose
long lasting object	structural-noun	object
same prey	structural-adjective	same
matter	has property	composition
make sound	structural-verb	make
northern winter	has subcomponent	january
limit	causes	replace
read instruction	structural-verb	read
object	has property	large
greenhouse effect	causes	heat
light bulb produce light	structural-patient	light
streak	kind of	measure
northern	derivational morphology	north
rabbits	derivational morphology	rabbit
moon	has property	full
limit	causes	run out
moon kind	structural-noun-compound	kind
first-level consumer	structural-noun	consumer
animal die	structural-agent	animal
south georgia and the south sandwich islands (united kingdom)	structural-noun-compound	islands
convert	synonym	change
produce sound	structural-verb	produce
old caterpillar	structural-noun	caterpillar
wash away	kind of	movement
blubber	kind of	fat
south georgia and the south sandwich islands (uk)	at location	southern hemisphere
sea grass	structural-noun-compound	sea
hardness	has property	intensive
material	has property	same
1 day	synonym	24 hour
night	has subcomponent	nocturnal predator hunt
replaceable	derivational morphology	replace
comoros	at location	southern hemisphere
grams	kind of	weight
smooth	antonym	rough
appearance	kind of	physical property
day	antonym	night
hereditary information	structural-adjective	hereditary
light years	synonym	ly
snow fall	at location	environment
angus	synonym	forfarshire
sinaloa	at location	mexico
literacy	kind of	skill
moving charged particles	structural-noun	particles
plug in	at location	outlet
floating arrow point	at location	compass
protect soil	structural-patient	soil
heat	at location	metal
saint vincent and the grenadines	structural-noun-compound	vincent
full moon	structural-adjective	full
bring	kind of	action
starch	kind of	complex carbohydrate
ear	kind of	body part
territory of new caledonia and dependencies (france)	structural-noun-compound	territory
observe earth	structural-verb	observe
bangladesh	at location	northern hemisphere
vitamin d	structural-noun-compound	d
earth's surface	has subcomponent	mountain
shape	has property	wide
loud	synonym	high sound intensity
rattle	derivational morphology	rattle
carbon monoxide detector	has positive impact on	human
decompose	kind of	break down
make easier	structural-patient	easier
insect eat crop	structural-patient	crop
dense liquid	structural-noun	liquid
flood	derivational morphology	flood
mauritania	at location	southern hemisphere
damp	synonym	many water
learned characteristic	kind of	characteristic
celestial body	structural-adjective	celestial
food source	structural-noun-compound	food
cornwall	at location	england
third planet	structural-noun	planet
make discovery	structural-patient	discovery
plant	has subcomponent	fiber
dangerous object	structural-adjective	dangerous
environment	has subcomponent	object
open container	structural-noun	container
look bright object	structural-verb	look
burn coal	at location	power station
small object break off	structural-agent	small object
air current	structural-noun-compound	air
y axis	structural-noun-compound	axis
jamaica	at location	northern hemisphere
body	has property	celestial
aluminum	kind of	metal
curling	derivational morphology	curl
paraguay	at location	southern hemisphere
take resource	structural-patient	resource
cell respire	structural-verb	respire
object	has property	dense
hailing	derivational morphology	hail
new south wales	structural-noun-compound	new
flower attract pollinator	structural-agent	flower
m o	structural-adjective	m
guangdong	instance of	province
hawk eat lizard	has negative impact on	lizard
less dense	structural-quantifier	less
missouri	at location	united states of america
rabbit eat plant	structural-patient	plant
flood	at location	flood plain
thunderstorm	kind of	storm
wasp	has subcomponent	stinger
human	has property	literacy
contains	synonym	located
cause	synonym	make happen
radiator	causes	heat
tree lifespan	synonym	100 year
absorb carbon dioxide	structural-patient	carbon dioxide
corn	kind of	seed
skid	kind of	motion
hot plate	causes	heat
nonrenewable resource	has property	limited
carbohydrate	has subcomponent	energy
tantalite	has property	magnetic
equal force	structural-noun	force
store energy	structural-patient	energy
low	synonym	down
bury peat	structural-verb	bury
adjust temperature	structural-verb	adjust
rock	has property	igneous
walking	kind of	behavior
remove tree	structural-verb	remove
bees	derivational morphology	bee
know information	structural-verb	know
kill insect	structural-verb	kill
adult animal	structural-adjective	adult
miles per gallon	structural-noun-compound	gallon
night sky star	structural-noun-compound	night
selkirkshire	at location	scotland
perform cellular respiration	structural-verb	perform
decomposer consume	structural-verb	consume
bee eat pollen	structural-patient	pollen
sort kind	structural-verb	sort
shanxi	instance of	province
learned characteristic	structural-adjective	learned
precipitation	kind of	weather
solar radiation	instance of	radiation
object	has property	size
excess heat	structural-adjective	excess
satellite orbit planet	structural-agent	satellite
seal give birth	structural-agent	seal
continent	kind of	large land mass
bicycle	has subcomponent	screw
little deep	structural-quantifier	little
kill insect	structural-patient	insect
other animal	structural-adjective	other
orkney	at location	scotland
lowest	synonym	least number
replace tree	structural-verb	replace
living ent	structural-noun-compound	ent
temperature rise	structural-verb	rise
quintana roo	structural-noun-compound	roo
carbon monoxide detector	structural-noun-compound	monoxide
develop	synonym	make
snow	at location	cloud
florida	at location	united states of america
jet stream	structural-noun-compound	stream
leave undisturbed	structural-patient	undisturbed
inherited behaviour	kind of	behaviour
yeast cell	structural-noun-compound	cell
hubei	at location	people's republic of china
money	has positive impact on	company
west lothian	structural-noun-compound	west
chemical	has property	harmful
control robot	structural-verb	control
deforested area	structural-adjective	deforested
echo	kind of	sound
sediment deposit	structural-verb	deposit
access small space	structural-patient	small space
sight	kind of	sense
river	has property	deep
starling	kind of	bird
mica	has subcomponent	luster
kill animal	structural-verb	kill
none	instance of	amount
liquid food	structural-adjective	liquid
population increase	structural-agent	population
position	causes	potential energy
nonrenewable resource	structural-noun	resource
thick	instance of	thickness
tianjin	instance of	municipality
seed sprout	structural-verb	sprout
greenland (denmark)	structural-noun-compound	greenland
raccoon eat garbage	has positive impact on	raccoon
learned behaviour	structural-adjective	learned
horse weight	synonym	475 kg
rock erode	structural-verb	erode
low object	has property	low vibration
decrease	derivational morphology	decreasing
water	causes	soil erosion
yellow	kind of	color
protect nature	structural-verb	protect
chemical reaction	structural-adjective	chemical
winter	has subcomponent	cold weather
radio	kind of	electrical device
droplet	kind of	little drop
land	kind of	landform
ghana	at location	southern hemisphere
chemical	has negative impact on	eye
force act	structural-agent	force
light pollution	structural-noun	pollution
daylight length	structural-noun-compound	daylight
replant	kind of	replace
plant transport water	structural-agent	plant
prevent harm	structural-verb	prevent
musical instrument	kind of	object
object	has property	reflective
ago	has property	long
move food	structural-patient	food
protect young bird	structural-patient	young bird
size	has property	narrow
large leaf	kind of	adaptation
woodpecker	kind of	bird
nayarit	structural-noun-compound	nayarit
plant crop	synonym	grow crop
baking soda react	structural-verb	react
soil	has property	fertile
roll	kind of	movement
car engine	causes	heat
panther	kind of	predator
water boiling point	structural-noun-compound	boiling
solar energy	causes	heat
object	has subcomponent	component
hare	similar to	rabbit
animal	has property	color
burkina faso	structural-noun-compound	faso
wind	has property	inexhaustible
other animals	derivational morphology	other animal
move person	structural-verb	move
liquid	at location	container
develop	synonym	grow
tree ring	structural-noun-compound	tree
soil	has subcomponent	humus
minute	kind of	duration
atmosphere	kind of	area
cover hand	structural-patient	hand
light	has property	far
complete electrical circuit	has subcomponent	electrical energy
bat give birth	structural-agent	bat
downstream	at location	river
downhill	kind of	direction
cell	causes	carbon dioxide
strong hurricane	structural-adjective	strong
sodium chloride	structural-noun-compound	chloride
pupa stage	structural-noun-compound	stage
ancient	synonym	very old
action	synonym	activity
soil	kind of	river deposit
same mass	structural-quantifier	same
enhance	synonym	increase
dead leaf fall	structural-verb	fall
planet clear orbit	structural-verb	clear
baked product	structural-noun	product
made up of	synonym	contains
guangxi autonomous region	instance of	autonomous region
namibia	at location	southern hemisphere
new zealand	at location	southern hemisphere
take away	synonym	decrease
grams	derivational morphology	grams
look in container	structural-verb	look in
plain	has subcomponent	flat land surface
hold	kind of	touch
girl	has property	female
least amount	structural-adjective	least
puerto rico (us)	structural-noun-compound	puerto
glacier	has subcomponent	ice
large rock	structural-noun	rock
cold environment	structural-adjective	cold
environment	has subcomponent	food source
skin	has property	flexible
animal survive	structural-agent	animal
needle	kind of	object
cape verde	structural-noun-compound	cape
wasp	has subcomponent	sting
intensive property	structural-noun	property
norfolk	at location	england
thick fur	structural-adjective	thick
revolution	derivational morphology	revolve
condense	kind of	process
earthquake	causes	shake
jiangxi	at location	people's republic of china
water cycle	at location	earth
north star	at location	sky
vertical axis	structural-noun-compound	axis
predict	derivational morphology	prediction
wind exposure	structural-noun-compound	exposure
chemical weathering	kind of	weathering
duck	kind of	bird
rub	synonym	move against
food	has property	liquid
ruler	kind of	tool
be used for	similar to	provide
animal exposure	structural-noun-compound	exposure
district of columbia	at location	united states of america
thing	has property	microscopic
macau	instance of	special administrative region
apple	kind of	fruit
record observation	structural-verb	record
thermometer	kind of	instrument
compete	has positive impact on	survive
burner	kind of	surface
warmth	has positive impact on	survival
erosion	has subcomponent	inhibitor
long distance	structural-adjective	long
venezuela	at location	southern hemisphere
similar material	structural-noun	material
measure rainfall	structural-patient	rainfall
bicycle	has subcomponent	pedal
walls	derivational morphology	wall
omnivore	kind of	animal
dense forest	kind of	environment
living thing survive	structural-verb	survive
sint maarten	at location	northern hemisphere
life cycle	structural-noun-compound	life
great length	structural-noun	length
skeletal system	structural-noun-compound	system
motor	has property	electric
soil nutrient decrease	structural-verb	decrease
fly	at location	air
product	has property	baked
travel	kind of	move
valley	has property	deep
leg	has property	six
absorb water	structural-patient	water
close light	structural-noun	light
how many	structural-adjective	how
dominant gene	has negative impact on	recessive gene
organism	has property	dead
tube-like body	structural-adjective	tube-like
microscopic	instance of	size
tree	has property	fruit
rocket engine	causes	thrust
eat acorn	structural-patient	acorn
safety goggle	kind of	safety gear
gas exchange	structural-verb	exchange
female bird sit	structural-verb	sit
stop	synonym	no speed
thermal insulator	structural-noun-compound	insulator
create	derivational morphology	creating
fry	kind of	cook
predator eat prey	structural-agent	predator
north	kind of	direction
desert	has property	low rainfall
northern summer solstice	structural-adjective	northern
lowest	synonym	least value
deep sea animal	kind of	marine organism
excess heat	causes	die
regular car	structural-noun	car
pole tilt from sun	structural-verb	tilt from
conduction	has property	thermal
less bright	structural-adjective	less
solid matter	instance of	matter
rock	has property	metamorphosed
obtain information	structural-patient	information
tide cycle	structural-noun-compound	cycle
pitcairn islands (united kingdom)	structural-noun-compound	islands
know part	structural-verb	know
machine	has property	simple
vermont	at location	united states of america
improvement	derivational morphology	improve
maine	at location	united states of america
tear	kind of	damage
water	has positive impact on	food
aluminum	has property	recyclable
telephone	kind of	technology
track	has subcomponent	finish
object	has property	magnetic
remove forest	structural-verb	remove
ocean heat	structural-noun-compound	ocean
people's republic of china	structural-noun-compound	republic
change	synonym	have effect
cold environment	has subcomponent	little food
synthetic material	structural-adjective	synthetic
under water	structural-noun	water
object	has property	bright
pull	has property	gravitational
kent	structural-noun-compound	kent
sand	has subcomponent	small rock
hawk eat lizard	structural-verb	eat
intensive properties	derivational morphology	intensive property
qinghai	structural-noun-compound	qinghai
hemisphere	has subcomponent	pole
read	kind of	skill
microorganism	has property	small
sound reflect	structural-verb	reflect
hot object	structural-adjective	hot
exert force	structural-verb	exert
perform experiment	structural-verb	perform
oxygen rich	synonym	many oxygen
camel hump	structural-noun-compound	hump
store item	structural-patient	item
distant location	structural-noun	location
size	has property	greatest
crop grow	has positive impact on	farmer
saint pierre and miquelon (france)	at location	northern hemisphere
little water	structural-quantifier	little
flat land surface	structural-noun	surface
receive warning	structural-verb	receive
catch insect	structural-patient	insect
take picture	synonym	create picture
equatorial regional guinea	structural-noun-compound	equatorial
cloudy	synonym	many cloud
washington state	structural-noun-compound	state
kilometers	kind of	distance
generate	synonym	produce
temperature	synonym	heat energy
shanghai municipality	instance of	municipality
cuba	at location	northern hemisphere
airplane	has property	fast
seed	kind of	young plant
temperature increase	structural-verb	increase
physical cycle	has subcomponent	energy
low pressure system	structural-noun-compound	pressure
generate electricity	structural-patient	electricity
animal waste	has subcomponent	nitrogen
take in	synonym	get
contain water	structural-patient	water
same function	structural-noun	function
seed dispersal	at location	environment
oklahoma	instance of	state
water vapour rise	structural-verb	rise
destroy	kind of	remove
different kind	structural-noun	kind
many year	has subcomponent	canyon
require	synonym	allow
see	kind of	sense
plastic spoon	has subcomponent	plastic
sun set	synonym	sunset
oxfordshire	instance of	county
prince edward island	instance of	province
control cell	structural-verb	control
liters	derivational morphology	liters
microorganism	kind of	decomposer
water	kind of	nonliving thing
south dakota	at location	united states of america
clipperton island (france)	structural-noun-compound	clipperton
dead organisms	structural-noun	organisms
circuit	has subcomponent	electrical conductor
move water	structural-verb	move
oil	has subcomponent	energy
negative thing	structural-adjective	negative
weather	has property	cold
vietnam	at location	northern hemisphere
ground	synonym	floor
high	synonym	many something
length	has property	smallest
sunshine	synonym	sunlight
radiation	has subcomponent	wave
loosen soil	structural-patient	soil
water	has positive impact on	real plant
clean	antonym	polluted
high moisture	structural-noun	moisture
ocean moisture	structural-noun-compound	moisture
length	has property	least
competition	derivational morphology	compete
body	has subcomponent	internal organ
ramp	kind of	object
moon phase	structural-noun-compound	moon
water decrease	structural-verb	decrease
mississippi delta	structural-noun-compound	delta
move from	structural-verb	move
ride	at location	surface
mass	has property	extensive
light colour	structural-adjective	light
breath	has subcomponent	water vapor
blood	has property	oxygenated
washington, d.c.	structural-noun-compound	d.c.
human body	structural-noun-compound	body
somerset	structural-noun-compound	somerset
desalinated water	structural-noun-compound	desalinated
decrease freezing point	structural-patient	freezing point
altitude	has property	big
north korea	at location	northern hemisphere
area	has property	deforested
pushing	derivational morphology	push
transfer heat	structural-patient	heat
reduce heat energy	structural-verb	reduce
tokelau (new zealand)	structural-noun-compound	tokelau
cell	has subcomponent	nucleus
morayshire	structural-noun-compound	morayshire
plant	causes	fruit
close	synonym	low distance
car accident	structural-noun-compound	car
belong to class	structural-verb	belong to
sea turtle	at location	ocean
wallis and futuna (france)	at location	southern hemisphere
warm air	structural-noun	air
earth's tilt	has positive impact on	sunlight
sunset	instance of	event
earthworm create	structural-verb	create
switch on	synonym	turn on
group object	structural-verb	group
organism	synonym	life
reduce	synonym	decrease
scratch glass	structural-patient	glass
reflect	synonym	bounce
taken	derivational morphology	take
light bulb produce light	structural-agent	light bulb
more offspring	structural-quantifier	more
bike	has subcomponent	bike pedal
crop	has subcomponent	surface
solar panel	has subcomponent	sunlight
hawk eat lizard	has positive impact on	hawk
matter state	kind of	property
animal	has subcomponent	brain
coral	at location	warm
crystal structure	structural-noun-compound	crystal
resource	has property	nonrenewable
austria	at location	northern hemisphere
conserve resource	structural-patient	resource
weather report	structural-noun-compound	report
green plant	has subcomponent	leaf
roller	derivational morphology	roll
melt	kind of	change
read instruction	structural-patient	instruction
caused	derivational morphology	cause
contact object	structural-verb	contact
nerve cell	structural-noun-compound	cell
down feather	kind of	material
metal	has property	nonrenewable
less moisture	structural-quantifier	less
moon phase change	structural-agent	moon phase
object	has property	celestial
low sunlight	structural-adjective	low
greater	synonym	more value
device	synonym	tool
heat energy	synonym	thermal energy
chloroplast	at location	leaf
cocos (keeling) islands (australia)	structural-noun-compound	keeling
united states of america	structural-noun-compound	united
chromite	has property	magnetic
simple substance	structural-adjective	simple
nut	has positive impact on	squirrel
tadpole breathe	structural-agent	tadpole
iron	kind of	solid
spring	at location	environment
determine direction	structural-patient	direction
carbonic acid	at location	groundwater
transport	derivational morphology	transportation
force	causes	more speed
gasoline	causes	many pollution
wood	kind of	material
yards	kind of	distance
conserve natural resource	structural-verb	conserve
fl oz	structural-noun-compound	fl
respiration	kind of	process
ability	has positive impact on	reproduce
build home	structural-verb	build
rock	has property	small
cushion	has property	soft
blubber	kind of	thermal insulator
frying pan	has subcomponent	metal
saint lucia	structural-noun-compound	saint
food preference	structural-noun-compound	food
aquatic animal	structural-adjective	aquatic
bad thing	structural-adjective	bad
reproduction	derivational morphology	reproduce
kill fish	structural-patient	fish
zero population	structural-noun	population
substance	has subcomponent	atom
source cool down	structural-verb	cool down
raw material	structural-adjective	raw
incomplete metamorphosis	structural-adjective	incomplete
quartz	has subcomponent	crystal
protect	synonym	camouflage
properties	derivational morphology	place
migrate	kind of	move
tea	has property	warm
food poisoning	structural-noun-compound	food
drop	has subcomponent	little liquid
andorra	at location	northern hemisphere
475 kg	structural-quantifier	475
belong	synonym	be kind of
breathe	kind of	convert
greenland (denmark)	structural-noun-compound	denmark
wax crayon	structural-noun-compound	crayon
pressure	has property	extreme
seasonal change	structural-adjective	seasonal
decompose	at location	soil
third planet	structural-adjective	third
years	derivational morphology	years
jet stream	synonym	air current
parallel circuit	structural-noun	circuit
sprinkler	has subcomponent	water
produce electricity	structural-verb	produce
wyoming	structural-noun-compound	wyoming
horned lizard	structural-noun-compound	lizard
measure hardness	structural-verb	measure
puebla	instance of	state
squirrel eat edible plant	structural-verb	eat
matter	has subcomponent	molecule
weak hurricane	structural-noun	hurricane
belong to class	structural-patient	class
acquired characteristic	kind of	characteristic
life cycle	has subcomponent	adulthood
liquid matter	has property	variable shape
soda can	has subcomponent	aluminum
cloud	causes	precipitation
sexual reproduction	structural-noun-compound	sexual
carbon monoxide detector	structural-noun-compound	detector
grow fur	structural-verb	grow
fur coat	structural-noun-compound	coat
set	derivational morphology	setting
guanajuato	at location	mexico
sea animal	structural-noun-compound	animal
bat give birth	structural-verb	give birth
move soil	structural-verb	move
put on	synonym	wear
pembrokeshire	structural-noun-compound	pembrokeshire
high value	structural-noun	value
many nutrient	structural-noun	nutrient
bright object	structural-noun	object
many egg	structural-noun	egg
know property	structural-patient	property
radnorshire	at location	wales
small animal shelter	structural-agent	small animal
coloration	derivational morphology	color
hand dryer	structural-noun-compound	dryer
acidic rainwater	structural-adjective	acidic
northern hemisphere	structural-adjective	northern
cactus spine	structural-noun-compound	spine
sunrise	instance of	event
derbyshire	structural-noun-compound	derbyshire
saint vincent and the grenadines	structural-noun-compound	grenadines
system	has property	excretory
tide cycle	has subcomponent	high tide
washington	structural-noun-compound	washington
young plant	structural-adjective	young
history	synonym	the past
hawaii	at location	united states of america
south carolina	instance of	state
baked	derivational morphology	bake
impact	derivational morphology	impact
solar radiation	synonym	solar energy
simple machine function	structural-agent	simple machine
material	has property	soft
fox eat	structural-agent	fox
hong kong	structural-noun-compound	hong
tuna eat fish	has negative impact on	fish
high pressure system	causes	clear weather
material	has subcomponent	sound speed
plant cells	derivational morphology	plant cell
leo	kind of	constellation
transport material	at location	plant
bosnia and herzegovina	structural-noun-compound	bosnia
sliding	kind of	motion
take picture	structural-patient	picture
solar energy	kind of	heat energy
recent	synonym	young
cool gas	structural-patient	gas
make	kind of	provide
deer	kind of	prey
be able to	synonym	can
soil	has subcomponent	small rock
oxygen melting point	structural-noun-compound	point
low temperature	structural-noun	temperature
bright	synonym	bright color
bird	has subcomponent	beak
burn natural gas	at location	stove
water freezing point	synonym	273k
newfoundland and labrador	structural-noun-compound	labrador
know direction	structural-verb	know
laboratory coat	at location	experiment
light bulb filament	structural-noun-compound	filament
available	derivational morphology	availability
arctic	at location	north
change phase	structural-verb	change
temperature	has property	high
young rock	structural-adjective	young
droplet	has subcomponent	little liquid
pollinator	synonym	pollinating animal
pumpkin	has subcomponent	seed
predict storm	structural-verb	predict
shanxi	structural-noun-compound	shanxi
westmoreland	structural-noun-compound	westmoreland
l i	structural-adjective	l
greatest length	structural-adjective	greatest
beach	kind of	environment
7 day	structural-quantifier	7
warm-blooded animal	has subcomponent	warm body
humidity	kind of	water vapor
aberdeenshire	at location	scotland
nova scotia	structural-noun-compound	scotia
sunlight shine	structural-agent	sunlight
simple machine	kind of	tool
attract mate	synonym	find mate
gather information	structural-verb	gather
ocean become forest	structural-agent	ocean
weather pattern	structural-noun-compound	weather
quick shower	structural-adjective	quick
physical change	structural-adjective	physical
object	has property	microscopic
sound	has property	loud
cooking	derivational morphology	cook
rain	kind of	liquid
western coral snake	structural-noun-compound	snake
territory of new caledonia and dependencies (france)	structural-noun-compound	caledonia
valley quail	structural-noun-compound	valley
search	synonym	seek
0.5 kg	structural-noun	kg
connecticut	at location	united states of america
many required item	structural-adjective	required
fingerprint	has property	small
car passenger	structural-noun-compound	passenger
north korea	structural-noun-compound	north
natural gas	structural-noun	gas
discard waste	structural-patient	waste
rock	has property	metamorphic
toy move	structural-verb	move
ontario	structural-noun-compound	ontario
seashell	kind of	shell
town	has property	solitary
bright petal	structural-adjective	bright
bury animal	structural-patient	animal
uruguay	at location	southern hemisphere
charles darwin	structural-noun-compound	charles
earth orbit sun	structural-verb	orbit
o2	synonym	oxygen
kilometers	derivational morphology	kilometers
insulator	antonym	conductor
soil	at location	earth surface
degrees celsiu	structural-noun-compound	degree
same mass	structural-noun	mass
car	causes	pollution
earth's plates	derivational morphology	earth's plate
push water	structural-patient	water
need	synonym	depend
keep healthy	structural-verb	keep
food	has positive impact on	birth
body	has subcomponent	heart
motion	causes	friction
guanajuato	instance of	state
solar energy	has property	renewable
eye color	structural-noun-compound	color
mississippi	at location	united states of america
measure height	structural-verb	measure
milk	kind of	food
meadow vole eat insect	structural-patient	insect
israel	at location	northern hemisphere
san luis potosí	structural-noun-compound	san
saudi arabia	at location	northern hemisphere
prehistoric living thing become natural gas	structural-patient	natural gas
break down	similar to	break
chemical splash	structural-verb	splash
radiation	derivational morphology	radiate
soil	kind of	nonliving thing
absorb water	structural-verb	absorb
sint maarten	structural-noun-compound	sint
refraction	at location	surface
anguilla (uk)	at location	northern hemisphere
rock erosion	structural-noun-compound	erosion
eagle eat fish	structural-verb	eat
conserve water	at location	dry environment
animal	has subcomponent	skin
sunlight intensity	has property	seasonal
human eat seed	structural-patient	seed
material composition	kind of	chemical property
freckles	derivational morphology	freckle
pair	synonym	two
capture food	structural-patient	food
always available	structural-adjective	always
circulatory system	structural-noun-compound	circulatory
same object	causes	similar
condition	has negative impact on	organism
physical property	structural-noun	property
baby chicken	structural-noun	chicken
physical change	antonym	chemical change
dominican republic	structural-noun-compound	republic
stay cool	structural-verb	stay
six legs	structural-noun-compound	legs
block light	structural-patient	light
great distance	structural-adjective	great
brick	kind of	object
guangxi autonomous region	structural-noun-compound	region
sichuan	at location	people's republic of china
liquid freeze	structural-patient	freeze
liaoning	instance of	province
larger	synonym	higher size
small feather	structural-noun	feather
oregon	instance of	state
magnet attract	structural-agent	magnet
nuevo león	structural-noun-compound	nuevo
reduce visibility	structural-patient	visibility
fat	causes	warmth
hong kong special administrative region	structural-noun-compound	administrative
the north pole	structural-noun-compound	pole
hand	has subcomponent	finger
simple circuit	structural-adjective	simple
food poisoning	structural-noun-compound	poisoning
appalachians	kind of	mountain range
bad odor	structural-noun	odor
contain	kind of	hold
many daylight	structural-quantifier	many
different colors	structural-adjective	different
refract light	structural-patient	light
cure disease	structural-patient	disease
morning glory	kind of	vine
face dimple	structural-adjective	face
food chain	has subcomponent	green plant
northern hemisphere	at location	north
height	kind of	length
american samoa (united states)	at location	southern hemisphere
old caterpillar	structural-adjective	old
earth tilt	causes	summer
saint martin (france)	structural-noun-compound	saint
manage number	structural-patient	number
sediment compact	structural-agent	sediment
less dense	structural-noun	dense
aluminum	has property	nonmagnetic
greatest mass	structural-adjective	greatest
poison	kind of	substance
returning	derivational morphology	return
properties	derivational morphology	properties
speed	causes	force
wave	kind of	motion
cactus	at location	desert
stormy weather	structural-noun	weather
fresh food	structural-adjective	fresh
bring substance	structural-verb	bring
gene	causes	inherited characteristic
measure distance	structural-verb	measure
move close	structural-verb	move
much	instance of	amount
afghanistan	at location	northern hemisphere
pumpkin	kind of	gourd
glass	has property	nonmagnetic
plant grow	structural-verb	grow
kangaroo	has subcomponent	pouch
coahuila	instance of	state
have positive impact	structural-patient	positive impact
wide	instance of	width
consumer eat organism	has positive impact on	consumer
puddle	kind of	body of water
sunlight intensity	structural-noun-compound	sunlight
object	has property	shape
sound	at location	air
surrey	at location	england
omnivore eat animal	structural-agent	omnivore
many organism	has positive impact on	survival
less number	structural-noun	number
sea grass	structural-noun-compound	grass
moon revolve	structural-verb	revolve
real plant	structural-adjective	real
laboratory apron	kind of	safety gear
solomon islands	at location	southern hemisphere
